layer;mean_kurtosis;sd_kurtosis;corr_beauty_VS_metric;pvalue;
input_4;-0.5842206184544494;1.0994373656144085;0.375418385584573;0.46332796083265954;
conv1_1;7.168442243673529;4.0183542383998025;-0.5735705024809009;0.23399175337918024;
conv1_2;26.28161163929312;10.819070028717999;-0.5508972457733117;0.2572494211370678;
pool1;23.76334978339049;7.526157781054353;-0.5416552283201329;0.26697537587694953;
conv2_1;10.548158406816821;4.600902230935917;-0.7928026810560838;0.059948527494092615;
conv2_2;14.55160710746384;1.8909242788852516;-0.40531177902403115;0.4253241623634737;
pool2;12.034094282633161;2.1607310511056053;0.26578359288492825;0.610712209200773;
conv3_1;19.72610812595498;4.567764333740204;0.5107593248254004;0.3004832046406886;
conv3_2;17.845281881217602;6.234701031534177;0.7148457463992804;0.11037605597295319;
conv3_3;58.406292294169475;25.90992114858913;0.8324221932366419;0.03977049507164338;
pool3;29.950218422390574;14.920656444402043;0.8172953734548144;0.047022041047967374;
conv4_1;25.050966464065986;5.465902001739036;0.7094483583351581;0.11436616265703864;
conv4_2;33.41672457863958;4.550588925840907;0.37030391588752676;0.4699330865727501;
conv4_3;104.2477203641202;11.979876719921982;-0.4930333007247957;0.3203737687946762;
pool4;45.44922578794173;4.442415722224799;-0.26697743279586417;0.6090485193200407;
conv5_1;37.03985201891893;6.849077559360393;0.7503635532432471;0.08569906690047543;
conv5_2;43.09460498399168;10.786747081905746;0.5670233445142574;0.24061837269893;
conv5_3;133.06897532759356;16.23279528602472;-0.17832454956072677;0.7353485043421812;
pool5;66.94678979039439;11.55224110947346;-0.45270012872313437;0.3673374020770652;
flatten;66.94678979039439;11.55224110947346;-0.45270012872313437;0.3673374020770652;
fc6/relu;11.307281515756253;6.2854179637133765;0.5330912710501206;0.2761117122373942;
fc7/relu;51.52288315989634;11.970726424381146;-0.29380090672311426;0.5719789361520781;

##############
bdd;SMALLTEST
weights;vggface
metric;kurtosis
time;3.786179804801941;minutes
