layer;mean_kurtosis;sd_kurtosis;corr_beauty_VS_metric;pvalue;
input_5;0.09310915711450467;0.9033791112192455;-0.2023405610053373;-0.2023405610053373;
conv1_1;5.017858022690376;0.43748551716526696;0.12060666348178964;0.12060666348178964;
conv1_2;20.85155826361806;1.2023226754035028;0.10271793564325346;0.10271793564325346;
pool1;20.049341969102763;1.0789623520034946;0.06848103651817544;0.06848103651817544;
conv2_1;5.491563158832425;0.9712663241737998;0.19626106756766665;0.19626106756766665;
conv2_2;12.957883675954859;0.839443554944154;-0.07025270409289183;-0.07025270409289183;
pool2;11.572659237433463;1.049718486263901;-0.08763108785219338;-0.08763108785219338;
conv3_1;21.581148747915627;3.261574099141157;-0.1338525716316649;-0.1338525716316649;
conv3_2;23.050722595038216;4.123654251777101;-0.24951723074718654;-0.24951723074718654;
conv3_3;81.22017889112404;16.17360463028587;-0.2342752786741304;-0.2342752786741304;
pool3;41.87818699460211;9.279102872452075;-0.2309796693433033;-0.2309796693433033;
conv4_1;33.59209524495634;4.146434258116735;-0.30672534550836733;-0.30672534550836733;
conv4_2;37.20567196013573;3.3675550440098476;-0.23144509229515647;-0.23144509229515647;
conv4_3;106.14958307810029;8.123922083540752;-0.285633637968241;-0.285633637968241;
pool4;47.92892593832052;4.26457960711454;-0.28813463954984403;-0.28813463954984403;
conv5_1;44.61787320230655;6.307557251699008;0.1543927409261827;0.1543927409261827;
conv5_2;44.00108302953594;5.846635960020699;0.24538705536093539;0.24538705536093539;
conv5_3;128.0412012957638;22.734516312195645;0.032307745183056874;0.032307745183056874;
pool5;60.3316196402246;10.63854031248104;0.017174493464731683;0.017174493464731683;
flatten;60.3316196402246;10.63854031248104;0.017174493464731683;0.017174493464731683;
fc6/relu;12.668648305493988;1.7388591889088625;0.01652929752920951;0.01652929752920951;
fc7/relu;40.910947653971064;8.126980022934248;-0.07582745639916552;-0.07582745639916552;

##############
bdd_is: CFD
weights are: vggface
metric_is: kurtosis
time : 1697.7326576550802 minutes
