layer;mean_kurtosis;sd_kurtosis;corr_beauty_VS_metric;pvalue;
block1_conv1;15.401602724979913;5.080928191089872;0.08714039311981571;0.0005629094941213015;
block1_conv2;8.871095252382036;3.8783386646761624;0.07236625649839491;0.004203799584716523;
block1_pool;7.45353155501467;3.4914603439533547;0.034239828619186584;0.17606255720773198;
block2_conv1;6.880970280693217;3.1129489823171776;0.07561430474271526;0.002778038476287268;
block2_conv2;15.189374750475736;5.575825483413277;0.11280957043982952;7.799597794227818e-06;
block2_pool;9.036231190344026;4.031349612706819;0.08023648681816481;0.0014998387077669946;
block3_conv1;11.973602325286315;4.098474047855938;-0.06559417114389449;0.009487441848835942;
block3_conv2;9.862098085938321;2.4447051673017866;-0.00048528758434401067;0.9847051731444889;
block3_conv3;31.568995875289634;6.376800515666013;0.02784778436633567;0.2712062185484577;
block3_pool;15.860618730700375;4.158010748084011;0.013470783479370104;0.5946132916953327;
block4_conv1;26.331077044556714;4.890516692766;0.13235908675136934;1.5068219961909403e-07;
block4_conv2;22.673781087835078;4.080204026985601;0.06669641223058112;0.008348104023467324;
block4_conv3;76.07076827897157;19.08007503350627;0.11778005722454932;3.0275184848605244e-06;
block4_pool;36.06317936832943;10.64786270295271;0.11632708877848409;4.008331031369218e-06;
block5_conv1;36.14463868512981;11.424616068295308;-0.030742096398130653;0.22448159703310286;
block5_conv2;20.871991427738916;5.1818770287647675;0.22158534783007566;7.737998838042238e-19;
block5_conv3;152.10096676109308;54.15430291221644;0.1119053714737089;9.22641791914531e-06;
block5_pool;76.0502671989135;29.117471494594675;0.1162239511729322;4.088464572578954e-06;
flatten;76.0502671989135;29.117471494594675;0.1162239511729322;4.088464572578954e-06;
fc1;27.948685194646533;9.259757273584924;0.08285983656860275;0.0010422532943633494;
drop_fc1;27.948685194646533;9.259757273584924;0.08285983656860275;0.0010422532943633494;
fc2;3.4367737790103083;2.0705254403958966;0.06210175135446792;0.014065504488362756;
drop_fc2;3.4367737790103083;2.0705254403958966;0.06210175135446792;0.014065504488362756;

##############
bdd;JEN
weights;vggplace
metric;kurtosis
time;1013.226964656512;minutes
